board,class_grade,subject,chapter,topic,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,type,difficulty,marks
CBSE,Class 10,Mathematics,Real Numbers,Fundamental Theorem of Arithmetic,"According to the Fundamental Theorem of Arithmetic, every composite number can be expressed as a product of:",A) Prime numbers,B) Odd numbers,C) Even numbers,D) Rational numbers,A) Prime numbers,"The Fundamental Theorem of Arithmetic states that every composite number can be factored uniquely as a product of primes.",MCQ,simple,1
CBSE,Class 10,Science,Electricity,Ohm's Law,"Which instrument is always connected in parallel across a component to measure potential difference?",A) Ammeter,B) Voltmeter,C) Galvanometer,D) Rheostat,B) Voltmeter,"A voltmeter has very high resistance and is always connected in parallel across the device.",MCQ,simple,1
CBSE,Class 10,Science,Light Reflection and Refraction,Refraction of Light,"The refractive index of medium A with respect to medium B is 1.5. What is the refractive index of B with respect to A?",A) 1.5,B) 0.67,C) 1.0,D) 2.25,B) 0.67,"The refractive index of B with respect to A is the reciprocal: 1 / 1.5 = 2/3 ≈ 0.67.",MCQ,medium,1
CBSE,Class 10,Mathematics,Quadratic Equations,Nature of Roots,"If the discriminant b^2 - 4ac of a quadratic equation is equal to zero, then the roots are:",A) Real and distinct,B) Real and equal,C) No real roots,D) Imaginary,B) Real and equal,"When discriminant D = 0, both roots of the quadratic equation are real and equal (-b/2a).",MCQ,simple,1
CBSE,Class 10,Science,Electricity,Electric Power,"State Ohm's Law and write its mathematical formula relating V, I, and R.",,,,,"Current is directly proportional to voltage at constant temperature (V = I * R).","Ohm's Law states that electric current through a conductor is directly proportional to the potential difference across its ends provided temperature remains constant.",SAQ,medium,2
CBSE,Class 10,Science,Chemical Reactions and Equations,Types of Chemical Reactions,"Why is respiration considered an exothermic reaction? Explain with reason.",,,,,"Energy is released in the form of ATP during the breakdown of glucose.","During respiration, glucose oxidizes with oxygen inside cells to produce carbon dioxide, water, and heat energy (ATP), making it exothermic.",SAQ,medium,2
CBSE,Class 10,Mathematics,Triangles,Similarity Criteria,"State the Basic Proportionality Theorem (Thales Theorem) for a triangle.",,,,,"A line drawn parallel to one side dividing the other two sides in the same ratio.","If a line is drawn parallel to one side of a triangle intersecting the other two sides, it divides the two sides in the same ratio.",SAQ,medium,2
CBSE,Class 10,Science,Acids Bases and Salts,pH Scale,"What is the difference between a strong acid and a weak acid? Give one example of each.",,,,,"Strong acids completely ionize (HCl), while weak acids partially ionize (CH3COOH).","Strong acids dissociate completely into H+ ions in aqueous solution (e.g. HCl), whereas weak acids partially dissociate (e.g. acetic acid).",SAQ,medium,2
CBSE,Class 10,Science,Life Processes,Nutrition,"Name the green photosynthetic pigment found in plant chloroplasts.",,,,,"Chlorophyll","Chlorophyll captures solar light energy to convert carbon dioxide and water into glucose.",Objective,simple,1
CBSE,Class 10,Science,Acids Bases and Salts,Indicators,"What is the pH value of pure distilled water at standard room temperature (25°C)?",,,,,"7","Pure water has equal concentrations of H+ and OH- ions, making it neutral with a pH of exactly 7.",Objective,simple,1
